Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
97,Jordan Clarkson\clarkjo01,SG,27,UTA,17,0,25.2,5.4,12.0,.446,1.8,5.7,.320,3.5,6.3,.561,.522,1.3,1.9,.688,0.7,1.9,2.6,1.4,0.7,0.3,0.9,1.6,13.8
98,Nicolas Claxton\claxtni01,PF,20,BRK,14,0,13.1,1.9,3.3,.565,0.1,0.5,.143,1.8,2.8,.641,.576,0.6,1.4,.474,1.4,1.7,3.1,1.1,0.1,0.6,0.6,1.0,4.4
99,Chris Clemons\clemoch01,SG,22,HOU,26,0,8.9,1.9,4.5,.419,1.3,3.5,.367,0.6,1.0,.593,.560,0.2,0.2,.800,0.1,0.7,0.8,0.7,0.2,0.2,0.6,0.8,5.2
100,Antonius Cleveland\clevean01,SG,25,DAL,3,0,4.7,0.7,1.0,.667,0.0,0.3,.000,0.7,0.7,1.000,.667,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.3,0.0,1.3
101,Amir Coffey\coffeam01,SG,22,LAC,2,0,2.5,1.0,1.5,.667,0.5,1.0,.500,0.5,0.5,1.000,.833,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,2.5
102,John Collins\collijo01,PF,22,ATL,22,22,30.3,7.7,14.1,.547,1.3,3.8,.349,6.4,10.4,.618,.593,2.3,2.9,.810,2.4,7.4,9.7,1.2,0.7,1.9,1.8,3.8,19.1
103,Zach Collins\colliza01,PF,22,POR,3,3,28.7,3.0,6.3,.474,1.0,2.3,.429,2.0,4.0,.500,.553,2.0,2.0,1.000,1.3,2.7,4.0,2.0,0.0,0.7,2.0,3.7,9.0
104,Mike Conley\conlemi01,PG,32,UTA,28,22,27.3,4.3,11.4,.377,1.6,4.7,.333,2.7,6.6,.409,.447,2.4,3.1,.782,0.6,2.4,3.0,4.1,0.7,0.1,1.9,2.2,12.6
105,Pat Connaughton\connapa01,SG,27,MIL,43,0,17.6,1.9,4.2,.442,0.6,2.2,.290,1.2,2.0,.602,.517,0.4,0.6,.720,0.8,3.4,4.2,1.6,0.3,0.5,0.8,1.0,4.8
106,Quinn Cook\cookqu01,PG,26,LAL,30,0,12.3,2.3,5.0,.450,0.7,1.8,.382,1.6,3.2,.490,.520,0.2,0.3,.667,0.2,1.0,1.2,1.2,0.3,0.0,0.7,0.7,5.4
107,Tyler Cook\cookty01,PF,22,CLE,11,0,3.2,0.6,0.9,.700,0.0,0.0,,0.6,0.9,.700,.700,0.5,0.5,.833,0.4,0.5,0.9,0.1,0.1,0.0,0.1,0.4,1.7
108,Robert Covington\covinro01,PF,29,MIN,46,45,29.3,4.5,10.3,.437,2.3,6.5,.348,2.2,3.8,.589,.546,1.5,1.9,.795,0.7,5.2,6.0,1.2,1.6,0.9,1.5,3.1,12.8
109,Allen Crabbe\crabbal01,SG,27,TOT,32,1,18.3,1.8,5.0,.360,1.0,3.3,.311,0.8,1.7,.455,.463,0.3,0.4,.714,0.3,1.9,2.2,1.0,0.5,0.1,0.5,1.3,5.0
109,Allen Crabbe\crabbal01,SG,27,ATL,28,1,18.6,1.9,5.1,.364,1.1,3.3,.323,0.8,1.8,.440,.469,0.3,0.4,.750,0.4,2.0,2.3,1.0,0.5,0.1,0.4,1.3,5.1
109,Allen Crabbe\crabbal01,SG,27,MIN,4,0,15.8,1.5,4.5,.333,0.8,3.3,.231,0.8,1.3,.600,.417,0.3,0.5,.500,0.0,1.5,1.5,0.8,0.0,0.0,0.8,1.8,4.0
